0.5
0.231,0.229,0.227,0.225,0.222,0.218,0.213,0.207,0.199,0.190,0.179,0.166,0.152,0.137,0.121,0.106,0.090,0.077,0.065,0.055,0.049,0.045,0.045,0.048,0.054,0.063,0.073,0.085,0.098,0.112,0.125,0.138,0.151,0.163,0.173,0.183,0.192,0.200,0.206,0.212
0.235,0.234,0.234,0.233,0.232,0.229,0.226,0.221,0.213,0.204,0.192,0.178,0.161,0.143,0.123,0.104,0.084,0.066,0.050,0.038,0.029,0.024,0.022,0.025,0.032,0.042,0.054,0.068,0.083,0.099,0.114,0.129,0.143,0.156,0.168,0.179,0.188,0.196,0.203,0.210
0.241,0.243,0.245,0.248,0.249,0.250,0.249,0.246,0.240,0.231,0.219,0.203,0.184,0.163,0.139,0.114,0.089,0.066,0.045,0.028,0.016,0.008,0.006,0.009,0.016,0.027,0.041,0.057,0.074,0.092,0.110,0.126,0.141,0.155,0.168,0.178,0.188,0.196,0.203,0.209
0.253,0.258,0.265,0.271,0.277,0.283,0.286,0.287,0.284,0.278,0.266,0.249,0.227,0.202,0.173,0.142,0.111,0.081,0.054,0.032,0.015,0.004,0.000,0.002,0.010,0.022,0.038,0.056,0.076,0.096,0.115,0.132,0.148,0.162,0.174,0.184,0.193,0.200,0.206,0.211
0.271,0.281,0.293,0.306,0.320,0.332,0.342,0.349,0.351,0.348,0.338,0.321,0.297,0.267,0.232,0.194,0.156,0.118,0.084,0.054,0.032,0.017,0.010,0.011,0.019,0.033,0.051,0.071,0.093,0.114,0.134,0.152,0.168,0.181,0.191,0.199,0.206,0.210,0.214,0.217
0.296,0.314,0.334,0.356,0.379,0.401,0.421,0.437,0.447,0.449,0.442,0.426,0.400,0.366,0.324,0.278,0.230,0.183,0.140,0.102,0.073,0.053,0.043,0.043,0.051,0.066,0.086,0.108,0.132,0.154,0.175,0.192,0.206,0.216,0.223,0.227,0.229,0.230,0.230,0.229
0.330,0.357,0.389,0.424,0.460,0.495,0.528,0.556,0.576,0.586,0.585,0.571,0.544,0.505,0.457,0.401,0.342,0.284,0.230,0.183,0.146,0.120,0.106,0.104,0.112,0.128,0.150,0.174,0.199,0.222,0.242,0.257,0.267,0.272,0.273,0.271,0.267,0.261,0.255,0.250
0.374,0.415,0.461,0.511,0.564,0.617,0.667,0.711,0.745,0.766,0.772,0.762,0.734,0.692,0.635,0.570,0.499,0.428,0.361,0.303,0.256,0.224,0.206,0.202,0.210,0.228,0.251,0.278,0.303,0.325,0.342,0.353,0.357,0.355,0.348,0.337,0.323,0.308,0.293,0.279
0.431,0.486,0.550,0.620,0.694,0.769,0.841,0.905,0.957,0.992,1.009,1.004,0.977,0.931,0.866,0.789,0.705,0.620,0.539,0.468,0.412,0.372,0.350,0.345,0.353,0.372,0.398,0.425,0.451,0.471,0.484,0.488,0.484,0.471,0.451,0.427,0.400,0.373,0.346,0.321
0.499,0.573,0.659,0.753,0.852,0.953,1.051,1.140,1.213,1.267,1.297,1.300,1.275,1.225,1.153,1.064,0.965,0.864,0.768,0.684,0.617,0.570,0.544,0.537,0.546,0.568,0.595,0.624,0.649,0.666,0.673,0.668,0.651,0.623,0.588,0.546,0.502,0.458,0.416,0.377
