1.0
0.000,0.004,0.009,0.016,0.024,0.034,0.045,0.059,0.074,0.091,0.109,0.128,0.148,0.168,0.187,0.205,0.221,0.234,0.244,0.250,0.252,0.250,0.244,0.234,0.221,0.205,0.187,0.168,0.148,0.128,0.109,0.091,0.074,0.059,0.045,0.034,0.024,0.016,0.009,0.004
0.004,0.010,0.017,0.026,0.037,0.050,0.066,0.084,0.104,0.127,0.152,0.178,0.205,0.232,0.258,0.283,0.304,0.322,0.335,0.343,0.346,0.343,0.335,0.322,0.304,0.283,0.258,0.232,0.205,0.178,0.152,0.127,0.104,0.084,0.066,0.050,0.037,0.026,0.017,0.010
0.009,0.017,0.026,0.038,0.053,0.071,0.092,0.116,0.143,0.174,0.207,0.242,0.278,0.314,0.349,0.381,0.410,0.433,0.451,0.462,0.466,0.462,0.451,0.433,0.410,0.381,0.349,0.314,0.278,0.242,0.207,0.174,0.143,0.116,0.092,0.071,0.053,0.038,0.026,0.017
0.016,0.026,0.038,0.054,0.073,0.097,0.124,0.156,0.192,0.232,0.276,0.322,0.369,0.416,0.462,0.505,0.542,0.573,0.597,0.611,0.616,0.611,0.597,0.573,0.542,0.505,0.462,0.416,0.369,0.322,0.276,0.232,0.192,0.156,0.124,0.097,0.073,0.054,0.038,0.026
0.024,0.037,0.053,0.073,0.098,0.128,0.164,0.205,0.252,0.304,0.360,0.420,0.481,0.542,0.601,0.656,0.705,0.745,0.775,0.794,0.800,0.794,0.775,0.745,0.705,0.656,0.601,0.542,0.481,0.420,0.360,0.304,0.252,0.205,0.164,0.128,0.098,0.073,0.053,0.037
0.034,0.050,0.071,0.097,0.128,0.167,0.212,0.265,0.324,0.390,0.462,0.538,0.616,0.694,0.769,0.839,0.901,0.953,0.991,1.015,1.023,1.015,0.991,0.953,0.901,0.839,0.769,0.694,0.616,0.538,0.462,0.390,0.324,0.265,0.212,0.167,0.128,0.097,0.071,0.050
0.045,0.066,0.092,0.124,0.164,0.212,0.269,0.335,0.410,0.493,0.582,0.678,0.775,0.873,0.968,1.056,1.134,1.198,1.246,1.276,1.286,1.276,1.246,1.198,1.134,1.056,0.968,0.873,0.775,0.678,0.582,0.493,0.410,0.335,0.269,0.212,0.164,0.124,0.092,0.066
0.059,0.084,0.116,0.156,0.205,0.265,0.335,0.416,0.509,0.611,0.722,0.839,0.960,1.081,1.198,1.306,1.402,1.482,1.541,1.578,1.591,1.578,1.541,1.482,1.402,1.306,1.198,1.081,0.960,0.839,0.722,0.611,0.509,0.416,0.335,0.265,0.205,0.156,0.116,0.084
0.074,0.104,0.143,0.192,0.252,0.324,0.410,0.509,0.621,0.745,0.880,1.023,1.170,1.317,1.459,1.591,1.707,1.804,1.876,1.921,1.936,1.921,1.876,1.804,1.707,1.591,1.459,1.317,1.170,1.023,0.880,0.745,0.621,0.509,0.410,0.324,0.252,0.192,0.143,0.104
0.091,0.127,0.174,0.232,0.304,0.390,0.493,0.611,0.745,0.894,1.056,1.227,1.402,1.578,1.748,1.906,2.046,2.161,2.248,2.302,2.320,2.302,2.248,2.161,2.046,1.906,1.748,1.578,1.402,1.227,1.056,0.894,0.745,0.611,0.493,0.390,0.304,0.232,0.174,0.127
